vec__max_df,vec__max_features,vec__min_df,vec__ngram_range,vec__stop_words,Vectorizer,Lemmatizer,Classifier,ROC-AUC score,Cross_Val_Score,accuracy,f1,precision,recall
0.95,20000,3,"(1, 3)",,TfidfVectorizer,nltk,RandomForestClassifier,0.821,0.2757025076555665,0.8202898550724638,0.5230769230769231,0.4657534246575342,0.5964912280701754
0.95,20000,2,"(1, 3)",,CountVectorizer,nltk,RandomForestClassifier,0.803,0.2934463685153678,0.7855072463768116,0.4788732394366197,0.4657534246575342,0.4927536231884058
0.95,50000,3,"(1, 3)",,TfidfVectorizer,spacy,RandomForestClassifier,0.802,0.28217998511538955,0.8173913043478261,0.5467625899280576,0.5205479452054794,0.5757575757575758
0.95,40000,2,"(1, 3)",,CountVectorizer,spacy,RandomForestClassifier,0.802,0.27393296957740704,0.8,0.5106382978723404,0.4931506849315068,0.5294117647058824
