Classifier,Cross_Val_Score,Lemmatizer,ROC-AUC score,Vectorizer,accuracy,class__C,f1,precision,recall,vec__max_df,vec__max_features,vec__min_df,vec__ngram_range,vec__stop_words
LogisticRegression,0.52335341528311,nltk,0.871,TfidfVectorizer,0.8144927536231884,1.0,0.5733333333333333,0.589041095890411,0.5584415584415584,0.95,10000,2,"(1, 3)",
LogisticRegression,0.49005746116406224,nltk,0.829,CountVectorizer,0.808695652173913,0.01,0.5416666666666667,0.5342465753424658,0.5492957746478874,0.95,10000,2,"(1, 3)",
LogisticRegression,0.5279980171411663,spacy,0.867,TfidfVectorizer,0.8289855072463768,1.0,0.5815602836879432,0.5616438356164384,0.6029411764705882,0.95,10000,2,"(1, 2)",
LogisticRegression,0.5012427646013998,spacy,0.83,CountVectorizer,0.8028985507246377,0.01,0.5277777777777777,0.5205479452054794,0.5352112676056338,0.95,20000,3,"(1, 3)",
