vec__max_df,vec__max_features,vec__min_df,vec__ngram_range,vec__stop_words,Vectorizer,Lemmatizer,Classifier,ROC-AUC score,Cross_Val_Score,accuracy,f1,precision,recall
0.95,20000,2,"(1, 1)",,TfidfVectorizer,nltk,MultinomialNB,0.825,0.5630399165646637,0.7768115942028986,0.574585635359116,0.7123287671232876,0.48148148148148145
0.95,10000,3,"(1, 1)",,CountVectorizer,nltk,MultinomialNB,0.771,0.4703491244392372,0.7710144927536232,0.4397163120567376,0.4246575342465753,0.45588235294117646
0.95,30000,2,"(1, 2)",,TfidfVectorizer,spacy,MultinomialNB,0.821,0.5384966524849756,0.7681159420289855,0.5789473684210527,0.7534246575342466,0.4700854700854701
0.95,10000,3,"(1, 2)",,CountVectorizer,spacy,MultinomialNB,0.776,0.48004305434942085,0.7681159420289855,0.4666666666666667,0.4794520547945205,0.45454545454545453
0.95,10000,2,"(1, 2)",,TfidfVectorizer,spacy2,MultinomialNB,0.822,0.5358771140322517,0.7478260869565218,0.5396825396825397,0.6986301369863014,0.4396551724137931
0.95,10000,3,"(1, 2)",,CountVectorizer,spacy2,MultinomialNB,0.775,0.44096616266991756,0.7855072463768116,0.4788732394366197,0.4657534246575342,0.4927536231884058
