vec__max_df,vec__max_features,vec__min_df,vec__ngram_range,vec__stop_words,Vectorizer,Lemmatizer,Classifier,ROC-AUC score,Cross_Val_Score,accuracy,f1,precision,recall
0.95,10000,3,"(1, 3)",,TfidfVectorizer,nltk,LogisticRegression,0.843,0.5344561785732305,0.7884057971014493,0.496551724137931,0.4931506849315068,0.5
0.95,50000,2,"(1, 3)",,CountVectorizer,nltk,LogisticRegression,0.817,0.4682763696881427,0.7942028985507247,0.5170068027210885,0.5205479452054794,0.5135135135135135
0.95,10000,3,"(1, 1)",,TfidfVectorizer,spacy,LogisticRegression,0.839,0.5302156203620556,0.8115942028985508,0.5578231292517007,0.5616438356164384,0.5540540540540541
0.95,10000,2,"(1, 3)",,CountVectorizer,spacy,LogisticRegression,0.816,0.45166447857651093,0.8028985507246377,0.5072463768115941,0.4794520547945205,0.5384615384615384
0.95,10000,3,"(1, 2)",,TfidfVectorizer,spacy2,LogisticRegression,0.844,0.5122425651602335,0.8115942028985508,0.5517241379310345,0.547945205479452,0.5555555555555556
0.95,30000,2,"(1, 3)",,CountVectorizer,spacy2,LogisticRegression,0.786,0.43491217467405846,0.7884057971014493,0.45112781954887216,0.410958904109589,0.5
